_Id,_UserId,_Name,_Date,_Class,_TagBased
113,44,Organizer,2017-06-27T18:00:29.617,3,False
114,44,Student,2017-06-27T18:00:29.617,3,False
115,46,Student,2017-06-27T18:00:29.617,3,False
116,51,Student,2017-06-27T18:00:29.617,3,False
117,53,Student,2017-06-27T18:00:29.617,3,False
118,27,Supporter,2017-06-27T18:00:29.617,3,False
119,31,Supporter,2017-06-27T18:00:29.617,3,False
120,44,Supporter,2017-06-27T18:00:29.617,3,False
121,49,Supporter,2017-06-27T18:00:29.617,3,False
122,50,Supporter,2017-06-27T18:00:29.617,3,False
123,52,Supporter,2017-06-27T18:00:29.617,3,False
124,53,Supporter,2017-06-27T18:00:29.617,3,False
125,58,Supporter,2017-06-27T18:00:29.617,3,False
126,60,Supporter,2017-06-27T18:00:29.617,3,False
127,16,Teacher,2017-06-27T18:00:29.617,3,False
128,46,Teacher,2017-06-27T18:00:29.617,3,False
129,47,Teacher,2017-06-27T18:00:29.617,3,False
130,50,Teacher,2017-06-27T18:00:29.617,3,False
131,58,Teacher,2017-06-27T18:00:29.617,3,False
132,25,Nice Answer,2017-06-27T18:05:28.383,3,False
133,63,Autobiographer,2017-06-27T18:05:28.383,3,False
134,64,Autobiographer,2017-06-27T18:05:28.383,3,False
135,65,Autobiographer,2017-06-27T18:05:28.383,3,False
136,67,Autobiographer,2017-06-27T18:05:28.383,3,False
137,64,Supporter,2017-06-27T18:05:28.383,3,False
138,65,Supporter,2017-06-27T18:05:28.383,3,False
139,46,Custodian,2017-06-27T18:05:28.383,3,False
140,69,Informed,2017-06-27T18:07:19.440,3,False
141,68,Autobiographer,2017-06-27T18:10:28.410,3,False
142,69,Autobiographer,2017-06-27T18:10:28.410,3,False
143,70,Informed,2017-06-27T18:14:36.780,3,False
144,70,Autobiographer,2017-06-27T18:15:30.420,3,False
145,71,Autobiographer,2017-06-27T18:15:30.420,3,False
146,3,Citizen Patrol,2017-06-27T18:13:24.713,3,False
147,60,Editor,2017-06-27T18:15:30.420,3,False
148,18,Supporter,2017-06-27T18:15:30.420,3,False
149,69,Supporter,2017-06-27T18:15:30.420,3,False
150,70,Supporter,2017-06-27T18:15:30.420,3,False
151,10,Teacher,2017-06-27T18:15:30.420,3,False
152,3,Custodian,2017-06-27T18:15:30.420,3,False
153,44,Custodian,2017-06-27T18:15:30.420,3,False
154,72,Autobiographer,2017-06-27T18:20:30.457,3,False
155,3,Critic,2017-06-27T18:20:30.457,3,False
156,10,Critic,2017-06-27T18:20:30.457,3,False
157,12,Critic,2017-06-27T18:20:30.457,3,False
158,14,Critic,2017-06-27T18:20:30.457,3,False
159,16,Critic,2017-06-27T18:20:30.457,3,False
160,18,Critic,2017-06-27T18:20:30.457,3,False
161,19,Critic,2017-06-27T18:20:30.457,3,False
162,20,Critic,2017-06-27T18:20:30.457,3,False
163,25,Critic,2017-06-27T18:20:30.457,3,False
164,46,Critic,2017-06-27T18:20:30.457,3,False
165,65,Critic,2017-06-27T18:20:30.457,3,False
166,15,Editor,2017-06-27T18:20:30.457,3,False
167,17,Editor,2017-06-27T18:20:30.457,3,False
168,63,Editor,2017-06-27T18:20:30.457,3,False
169,3,Custodian,2017-06-27T18:20:30.457,3,False
170,3,Custodian,2017-06-27T18:20:30.457,3,False
171,40,Quorum,2017-06-27T18:22:04.517,3,False
172,19,Quorum,2017-06-27T18:22:04.517,3,False
173,55,Precognitive,2017-06-27T18:22:04.517,3,False
174,61,Precognitive,2017-06-27T18:22:04.517,3,False
175,54,Precognitive,2017-06-27T18:22:04.517,3,False
176,67,Precognitive,2017-06-27T18:22:04.517,3,False
177,40,Precognitive,2017-06-27T18:22:04.517,3,False
178,32,Precognitive,2017-06-27T18:22:04.517,3,False
179,51,Precognitive,2017-06-27T18:22:04.517,3,False
180,44,Precognitive,2017-06-27T18:22:04.517,3,False
181,43,Precognitive,2017-06-27T18:22:04.517,3,False
182,30,Precognitive,2017-06-27T18:22:04.517,3,False
183,53,Precognitive,2017-06-27T18:22:04.517,3,False
184,41,Precognitive,2017-06-27T18:22:04.517,3,False
185,69,Precognitive,2017-06-27T18:22:04.517,3,False
186,50,Precognitive,2017-06-27T18:22:04.517,3,False
187,48,Precognitive,2017-06-27T18:22:04.517,3,False
188,33,Precognitive,2017-06-27T18:22:04.517,3,False
189,9,Talkative,2017-06-27T18:22:04.517,3,False
190,18,Informed,2017-06-27T18:22:19.317,3,False
191,73,Autobiographer,2017-06-27T18:25:30.453,3,False
192,19,Editor,2017-06-27T18:25:30.453,3,False
193,45,Editor,2017-06-27T18:25:30.453,3,False
194,18,Organizer,2017-06-27T18:25:30.453,3,False
195,51,Supporter,2017-06-27T18:25:30.453,3,False
196,61,Teacher,2017-06-27T18:25:30.453,3,False
197,71,Teacher,2017-06-27T18:25:30.453,3,False
